"productName","sponsored","badge","price","basePrice","rating","ratingsNumber","boughtPastMonth"
"Results","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 1TB SSD Storage; Space Black","no","","N/A","N/A","4.7","N/A","300+"
"Apple 2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Starlight","no","N/A","$998.93","$1,299.00","4.8","N/A","N/A"
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver","no","N/A","N/A","N/A","4.8","N/A","50+"
"Apple Macbook Air MJVM2LL/A Intel i5 1.6GHz 8GB 128GB (Renewed)","no","N/A","$198.99","N/A","4.2","N/A","200+"
"Late-2018 Apple MacBook Air with Core i5 (13-inch, 8GB RAM, 256GB) (QWERTY English) Gold (Renewed)","no","N/A","$479.00","N/A","4.1","N/A","N/A"
"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: Built for Apple Intelligence, 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 1TB SSD Storage; Space Gray","no","N/A","N/A","N/A","4.6","N/A","100+"
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)","no","N/A","$689.00","N/A","4.3","N/A","100+"
"Apple 2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver","no","N/A","$1,879.99","$2,499.00","4.7","N/A","100+"
"Apple MacBook Pro 16.2"" with M3 Pro Chip (Late 2023) - Space Black, 12-Core / 18-Core, 18GB, 1TB SSD","no","N/A","$2,549.99","$2,699.00","5.0","N/A","50+"
"2022 Apple MacBook Pro Laptop with M2 chip: 13-inch Retina Display, 8GB RAM, 512GB ​​​​​​​SSD ​​​​​​​Storage, Touch Bar, Backlit Keyboard, FaceTime HD Camera. Works with iPhone and iPad; Space Gray","no","N/A","$1,489.00","N/A","4.7","N/A","N/A"
"2021 Apple MacBook Pro (14-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 1TB SSD) - Space Gray","no","N/A","N/A","N/A","4.8","N/A","N/A"
"Apple 2020 MacBook Air Laptop M1 Chip, 13"" Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold","no","N/A","N/A","N/A","4.8","N/A","N/A"
"Apple MacBook Pro 16.2"" with Liquid Retina XDR Display, M3 Pro Chip with 12-Core CPU and 18-Core GPU, 36GB Memory, 1TB SSD, Space Black, Late 2023","no","N/A","N/A","N/A","5.0","N/A","N/A"
"Apple 2023 MacBook Pro Laptop with Apple M2 Pro chip with 10‑core CPU and 16‑core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver","no","N/A","$1,699.95","N/A","4.7","N/A","N/A"
"2023 Apple 15"" MacBook Air M2, 16GB RAM, 512GB Storage - Space Gray (Z18L000PR)","no","N/A","$1,599.99","$1,698.95","5.0","N/A","N/A"
"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage, Space Gray (Z1C80001F)","no","N/A","$1,913.50","N/A","N/A","N/A","N/A"
"macOS Reference & Cheat Sheet: The unofficial cheat sheet for macOS on iMacs, MacBooks, and Mac computers (English Edition)","yes","N/A","$7.99","N/A","4.4","N/A","N/A"
"Related searches","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Need help?","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Results","no","N/A","N/A","N/A","N/A","N/A","N/A"
"2021 Apple MacBook Pro (16-inch, M1 Max chip with 10‑core CPU and 32‑core GPU, 32GB RAM, 1TB SSD) - Space Gray","no","N/A","$2,999.00","N/A","4.7","N/A","N/A"
"Apple MacBook Pro 16.2"" with M3 Max Chip (Late 2023) - Space Black, 14-Core / 30-Core, 96GB, 1TB SSD","no","N/A","$4,119.82","N/A","5.0","N/A","N/A"
"Apple (CTO) MacBook Pro 16-in - M3 Max 14C CPU - 30C GPU, 36GB, 2TB - (Fall 23) Z1AF001A3 - Space Black","no","N/A","$3,768.36","N/A","N/A","N/A","N/A"
"Apple MacBook Pro 16.2"" with M3 Max Chip (Late 2023) - Silver, 16-Core / 40-Core, 64GB, 2TB SSD","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Apple MacBook Air (13-inch Retina Display, 8GB RAM, 256GB SSD Storage) - Space Gray (Previous Model)","no","N/A","N/A","N/A","4.8","N/A","N/A"
"Hiearcool USB C Hub, USB C Multi-Port Adapter for MacBook Pro, 7IN1 USB C to HDMI Hub Dongle Compatible for USB C Laptops and Other Type C Devices (4K HDMI USB3.0 SD/TF Card Reader 100W PD)","no","N/A","$18.39","$24.99","4.6","N/A","10K+"
"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F","no","N/A","$248.00","N/A","4.3","N/A","200+"
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Midnight","no","Best Seller","N/A","N/A","4.7","N/A","10K+"
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Midnight","no","N/A","N/A","N/A","4.7","N/A","3K+"
"Apple 2022 MacBook Air Laptop with M2 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera; Midnight","no","N/A","N/A","N/A","4.7","N/A","3K+"
"Apple 2023 MacBook Pro Laptop M3 Max chip with 16‑core CPU, 40‑core GPU: Built for Apple Intelligence, 16.2-inch Liquid Retina XDR Display, 48GB Unified Memory, 1TB SSD Storage; Silver","no","N/A","$3,779.91","$3,999.00","4.7","N/A","50+"
"Apple 2022 13"" MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)","no","N/A","$1,229.99","N/A","4.7","N/A","N/A"
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip, 16GB Unified Memory, 256GB SSD Storage, Space Gray - Z1BP0006M","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip, 16GB Unified Memory, 256GB SSD Storage, Midnight - Z1BC0015S","no","N/A","N/A","N/A","5.0","N/A","50+"
"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) - Space Gray","no","N/A","N/A","N/A","4.7","N/A","N/A"
"Apple MacBook Pro 16.2"" with M3 Max Chip (Late 2023) - Space Black, 16-Core / 40-Core, 64GB, 1TB SSD","no","N/A","$3,848.99","N/A","5.0","N/A","N/A"
"Related searches","no","N/A","N/A","N/A","N/A","N/A","N/A"
"Need help?","no","N/A","N/A","N/A","N/A","N/A","N/A"
